序号,大类,分类,小类,意思,词类,单词,重复,有道音,解释,参考,例句,英文释义,关键字,有道义
39504,地理,地理,地理,1,n.,circumnavigation,,"en [,sə:kəm,nævi'geiʃn] us [ ,sə:kəm,nævi'geiʃn ]",周游世界,,,"(noun) The act of circumnavigating, or sailing round.",,n. 世界一周旅行；周游世界
23833,地理,地理,地理,1,n.,crag,,en [kræg] us [kræg],峭壁,,,(noun) A rocky outcrop; a rugged steep rock or cliff.,,n. 峭壁；岩石碎块；颈；嗉囊
6988,地理,地理,地理,1,n.,crater,3,en ['kreɪtə] us ['kretɚ],火山口；弹坑,,,(noun) A hemispherical pit created by the impact of a meteorite or other object. | (verb) To form craters in a surface (of a planet or moon).,,"n. 火山口；弹坑
vt. 在…上形成坑；取消；毁坏
vi. 形成坑；消亡"
19517,地理,地理,地理,1,n.,detritus,,en [dɪ'traɪtəs] us [dɪ'traɪtəs],碎石；碎屑,rubble,,"(noun) (chiefly geological) Pieces of rock broken off by ice, glacier, or erosion.",,n. 碎石，[地质] 岩屑
17751,地理,地理,地理,1,n.,eddy,,en ['edɪ] us ['ɛdi],漩涡,,,"(noun) A current of air or water running back, or in an opposite direction to the main current. | (verb) To form an eddy; to move in, or as if in, an eddy; to move in a circle.",,"n. 涡流；漩涡；逆流
vi. 旋转；起漩涡
vt. 使…起漩涡
n. (Eddy)人名；(英、法、印尼、葡)埃迪"
24329,地理,地理,地理,1,n.,equinox,,en ['iːkwɪnɒks; 'ekwɪ-] us ['ikwɪnɑks],春分；秋分,,,(noun) The intersection of the apparent path of the sun in the sky (the ecliptic) with the celestial equator.,,n. 春分；秋分；昼夜平分点
25651,地理,地理,地理,1,n.,escarpment,,en [ɪ'skɑːpm(ə)nt; e-] us [ɪ'skɑrpmənt],悬崖；绝壁,,,"(noun) A steep descent or declivity; steep face or edge of a ridge; ground about a fortified place, cut away nearly vertically to prevent hostile approach.",,n. 悬崖；绝壁；陡坡
13764,地理,地理,地理,1,n.,estuary,,en ['estjʊ(ə)rɪ] us ['ɛstʃʊ'ɛri],河口；江口,,,"(noun) Coastal water body where ocean tides and river water merge, resulting in a brackish water zone.",,n. 河口；江口
28551,地理,地理,地理,1,n.,fen,,en [fen] us [fɛn],（尤指英国东部的）低地沼泽,,,"(noun) A type of wetland fed by ground water and runoff, containing peat below the waterline, characteristically alkaline.",,"n. 沼泽，低位沼泽；碱沼，泥炭沼泽；分（中国货币单位）
n. (Fen) （美）芬（人名）"
29554,地理,地理,地理,1,n.,fieldstone,,en ['fi:ldstəun] us [ 'fi:ldstəun ],粗石；散石,,,(noun) A stone found in fields and used for building.,,n. 粗石；散石；大卵石
11032,地理,地理,地理,1,n.,foothill,,en ['fʊthɪl] us [ 'futhil ],山麓小丘；丘陵地带,,,(noun) A hill at the base of a mountain or mountain range.,,n. 山麓小丘；丘陵地带
11752,地理,地理,地理,1,n.,geology,,en [dʒɪ'ɒlədʒɪ] us [dʒɪ'ɑlədʒi],地质学；地质情况,,,"(noun) The science that studies the structure of the earth (or other planets), together with its origin and development, especially by examination of its rocks.",,n. 地质学；地质情况
17416,地理,地理,地理,1,n.,geyser,,en ['giːzə; 'gaɪ-] us ['ɡaɪzɚ],喷泉,,,"(noun) A boiling natural spring which throws forth at frequent intervals jets of water, mud etc., driven up by the expansive power of steam. | (verb) To (cause to) rush or burst upward like water from a geyser.",,"n. 喷泉；[水文] 间歇泉；（英）烧水锅炉
n. (Geyser)人名；(德)盖泽尔"
24344,地理,地理,地理,1,n.,glen,,en [glen] us [ɡlɛn],峡谷；幽谷,,,"(noun) A secluded and narrow valley, especially one with a river running through it; a dale; a depression between hills.",,n. 峡谷；幽谷
5687,地理,地理,地理,1,n.,gravel,,en ['græv(ə)l] us ['ɡrævl],碎石,,,"(noun) Small fragments of rock, used for laying on the beds of roads and railways, and as ballast. | (verb) To apply a layer of gravel to the surface of a road, etc.",,"n. 碎石；砂砾
vt. 用碎石铺；使船搁浅在沙滩上；使困惑
n. (Gravel)人名；(英、法、西)格拉韦尔"
14108,地理,地理,地理,1,n.,gully,,en ['gʌlɪ] us ['ɡʌli],冲沟；溪谷,,,"(noun) A trench, ravine or narrow channel which was worn by water flow, especially on a hillside. | (verb) To flow noisily.",,"n. 冲沟；水沟
vt. 在…上开沟
vi. 形成沟
n. (Gully)人名；(法)居利；(英)格利"
16235,地理,地理,地理,1,a.,hilly,,en ['hɪlɪ] us ['hɪli],丘陵的；多小山的,,,(adjective) (of a landscape) Abundant in hills; having many hills.,,"adj. 丘陵的；陡的；多小山的；多坡的
n. (Hilly)人名；(阿拉伯)希利"
24242,地理,地理,地理,1,n.,islet,,en ['aɪlɪt] us ['aɪlət],小岛,,,(noun) A small island,,n. 小岛
8469,地理,地理,地理,1,n.,ledge,,en [ledʒ] us [lɛdʒ],岩架；壁架；窗台；暗礁；矿层,,,"(noun) A shelf on which articles may be laid; also, that which resembles such a shelf in form or use, as a projecting ridge or part, or a molding or edge in joinery. | (verb) To cause to have, or to develop, a ledge (during mining, canal construction, building, etc).",,n. 岩架；壁架；窗台；暗礁；矿层
17598,地理,地理,地理,1,n.,longitude,,en ['lɒn(d)ʒɪtjuːd; 'lɒŋgɪ-] us ['lɑndʒətud],经线,,,(noun) Angular distance measured west or east of the prime meridian.,,n. [地理] 经度；经线
5119,地理,地理,地理,1,n.,mound,,en [maʊnd] us [maʊnd],土堆；土丘,,,"(noun) An artificial hill or elevation of earth; a raised bank; an embankment thrown up for defense | (verb) To fortify with a mound; add a barrier, rampart, etc. to.",,"n. 堆；高地；坟堆；护堤
vt. 堆起；筑堤
vi. 积成堆"
12706,地理,地理,地理,1,a.,mountainous,,en ['maʊntɪnəs] us ['maʊntənəs],多山的；巨大的；山一般的,,The storm heaved the sea into mountainous weaves. 风暴中海面上波涛万丈.The ship sank in mountainous seas. 那艘船淹没在滔天巨浪中.a mountainous region/terrain多山的地区 / 地形,(adjective) Having many mountains; characterized by mountains; of the nature of a mountain; rough (terrain); rocky.,,adj. 多山的；巨大的；山一般的
27203,地理,地理,地理,1,n.,mudslide,,en ['mʌdslaɪd] us ['mʌdslaɪd],塌方；山崩；泥流,,,(noun) A geological event in which viscous mud flows down an incline.,,n. 塌方；山崩；（沿缓坡而下的）徐缓黏滞泥流；泥流
10567,地理,地理,地理,1,n.,oasis,3,en [əʊ'eɪsɪs] us [o'esɪs],绿洲；舒适的地方；令人宽慰的事物,,,"(noun) A spring of fresh water, surrounded by a fertile region of vegetation, in a desert.",,"n. 绿洲；舒适的地方；令人宽慰的事物
n. (Oasis)人名；(英)奥西斯"
14007,地理,地理,地理,1,a.,oceanic,,"en [,əʊsɪ'ænɪk; -ʃɪ-] us ['oʃɪ'ænɪk]",海洋的；广阔无垠的,,,(adjective) Of or relating to the ocean.,,adj. 海洋的；海洋产出的；在海洋中生活的；广阔无垠的
20344,地理,地理,地理,1,n.,outcrop,,"en ['aʊtkrɒp] us [ 'autkrɔp, ,aut'krɔp ]",露头,,,(noun) A piece of land that stands out (usually into water) from the land surrounding. | (verb) (of a stratum) To come out to the surface of the ground.,,"n. 露头；露出地面的岩层
vi. 露出"
11450,地理,地理,地理,1,n.,pebble,,en ['peb(ə)l] us ['pɛbl],卵石,,,"(noun) A small stone, especially one rounded by the action of water. | (verb) To pave with pebbles.",,"n. 卵石；水晶透镜
vt. 用卵石铺"
6946,地理,地理,地理,1,n.,prairie,,en ['preərɪ] us ['prɛri],（尤指北美的）大草原,,,"(noun) An extensive area of relatively flat grassland with few, if any, trees, especially in North America.",,n. 大草原；牧场
23945,地理,地理,地理,1,n.,promontory,,en ['prɒm(ə)nt(ə)rɪ] us ['prɑməntɔri],岬，海角,headland,,"(noun) A high point of land extending into a body of water, headland; cliff.",,n. 岬，海角；隆起，隆突
9197,地理,地理,地理,1,n.,puddle,,en ['pʌd(ə)l] us ['pʌdl],水坑，泥潭,,,"(noun) A small pool of water, usually on a path or road. | (verb) To form a puddle.",,"n. 水坑，泥潭；胶土（由粘土与水和成，不透水）
vt. 使泥泞，搅浑；把…捣制成胶土；搅炼；用胶土填塞
vi. 搅泥浆；在水坑中嬉戏"
29419,地理,地理,地理,1,n.,pumice,,en ['pʌmɪs] us ['pʌmɪs],浮岩，浮石,,,"(noun) A light, porous type of pyroclastic igneous rock, formed during explosive volcanic eruptions when liquid lava is ejected into water or air as a froth containing masses of gas bubbles. As the lava solidifies, the bubbles are frozen into the rock. | (verb) To abrade or roughen with pumice.",,"n. 浮岩，浮石，轻石
v. 用浮石打磨、清洁"
11715,地理,地理,地理,1,n.,ravine,,en [rə'viːn] us [rə'vin],沟壑，山涧；峡谷,,,(noun) A deep narrow valley or gorge in the earth's surface worn by running water.,,n. 沟壑，山涧；峡谷
18653,地理,地理,地理,1,a.,riparian,,en [raɪ'peərɪən] us [raɪ'pɛrɪən],河边的；水滨的,,,(noun) A person or other entity that lives or owns property along the shore of a river. | (adjective) Of or relating to the bank of a river or stream.,,"adj. 河边的；水滨的
n. 河边居民；河岸拥有人"
22365,地理,地理,地理,1,n.,rivulet,,en ['rɪvjʊlɪt] us ['rɪvjələt],小溪，小河,,,(noun) A small brook or stream; a streamlet.,,n. 小溪，小河
7681,地理,地理,地理,1,n.,rubble,,en ['rʌb(ə)l] us ['rʌbl],碎石；瓦砾,,,"(noun) The broken remains of an object, usually rock or masonry.",,n. 碎石，碎砖；粗石堆
29358,地理,地理,地理,1,n.,savannah,,en [sə'vænə] us [ sə'vænə ],无树大草原,,,(noun) A tropical grassland with scattered trees,,"n. 热带和亚热带草原，（非洲的）稀树草原
n. (Savannah) （美）萨凡纳（人名）"
25395,地理,地理,地理,1,n.,seascape,,"en ['siːskeɪp] us ['si,skep]",海景；海景画,,,(noun) A piece of art that depicts the sea or shoreline.,,n. [海洋] 海景；海景画
20819,地理,地理,地理,1,n.,shoals,4,en [ʃol] us [ʃəʊl],浅滩,,,(noun) A sandbank or sandbar creating a shallow. | (verb) To arrive at a shallow (or less deep) area.,,"n. [地理] 浅滩（shoal的复数形式）；[水文] 沙洲
v. 变浅；使驶进浅水区（shoal的第三人称单数）
n. (Shoals)人名；(英)肖尔斯"
27558,地理,地理,地理,1,n.,stalactite,4,en ['stæləktaɪt] us [stə'læktaɪt],钟乳石,,,"(noun) A secondary mineral deposit of calcium carbonate or another mineral, in shapes similar to icicles, that hangs from the roof of a cave.",,n. [地质] 钟乳石
6420,地理,地理,地理,1,n.,swamp,,en [swɒmp] us [swɑmp],沼泽，水洼；湿地；进退两难的困境,,he was trapped in a medical swamp,"(noun) A piece of wet, spongy land; low ground saturated with water; soft, wet ground which may have a growth of certain kinds of trees, but is unfit for agricultural or pastoral purposes. | (verb) To drench or fill with water.",,"n. 沼泽，低地，水洼；湿地；（用于强调）某地的浸水程度；进退两难的困境
v. 使不堪承受，使疲于应对，使应接不暇；淹，淹没；（船）被水吞没，沉没；使陷入困境"
4914,地理,地理,地理,1,n.,swell,,en [swel] us [swɛl],浪潮；浪涌,,,"(verb) To become bigger, especially due to being engorged.",,"v. 膨胀，肿胀；（使）凸出，鼓出；（使）增加，扩大；（声音）变响亮；充满（激情）
n. 凸起处，隆起处；逐渐增长；感情高涨；浪涌；音量调节器；（非正式）名流
adj. （非正式）极好的，非常愉快的；漂亮的，时髦的；
adv. 极好地，出色地
n. (Swell)（美、英）斯韦尔（人名）"
20666,地理,地理,地理,1,a.,tectonic,,en [tek'tɒnɪk] us [tɛk'tɑnɪk],地质结构的；（与）建筑（有关）的；（与）构造（有关）的,,,(adjective) Of or relating to construction or to architecture,,adj. [地质] 构造的；建筑的；地壳构造上的
4533,地理,地理,地理,1,n.,terrain,,en [təˈreɪn] us [tɛˈren],地形，地势；领域,,,"(noun) A single, distinctive rock formation; an area having a preponderance of a particular rock or group of rocks.",,n. [地理] 地形，地势；领域；地带
9829,地理,地理,地理,1,a.,terrestrial,,en [tə'restrɪəl] us [tə'rɛstrɪəl],地球的；陆地的,,,(noun) An inhabitant of the planet Earth. | (noun) A ground-dwelling plant.,,"adj. 地球的；陆地的，[生物] 陆生的；人间的
n. 陆地生物；地球上的人"
13477,地理,地理,地理,1,n.,topography,,en [tə'pɒgrəfɪ] us [tə'pɑgrəfi],地貌；剖析图,,,(noun) A precise description of a place.,,n. 地势；地形学；地志
11731,地理,地理,地理,1,n.,tributary,,en ['trɪbjʊt(ə)rɪ] us ['trɪbjə'tɛri],支流；进贡国；附属国,,,(noun) A natural water stream that flows into a larger river or other body of water. | (adjective) Related to the paying of tribute.,,"n. （大河或湖泊的）支流；进贡国，附属国
adj. 纳贡的；促进的"
28717,地理,地理,地理,1,n.,tropic,,en ['trɒpɪk] us ['trɑpɪk],回归线；热带,,,{Merriam-Webster} (noun) either of the two parallels of terrestrial latitude at a distance of about 23½ degrees north or south of the equator where the sun is directly overhead when it reaches its most northerly or southerly point in the sky; the region lying between the tropics,,"n. 回归线；热带；天球的回归线
adj. 热带的；（天气）湿热的；向性的，亲……的"
11213,地理,地理,地理,1,n.,tsunami,,en [tsuː'nɑːmɪ] us [tsʊ'nɑmi],海啸,,,"(noun) A very large and destructive wave, generally caused by a tremendous disturbance in the ocean, such as an undersea earthquake or volcanic eruption. Tsunami are usually a series of waves, or wave train.",,n. 海啸
25711,地理,地理,地理,1,n.,undertow,,en ['ʌndətəʊ] us ['ʌndɚto],底流；水下逆流；潜在的倾向（或特质）,,,(noun) A short-range flow of water returning seaward from the waves breaking on the shore. | (verb) To pull or tow under; drag beneath; pull down.,,n. 水下逆流，退浪；潜在的倾向
29880,地理,地理,气象,1,n.,cumulus,,en ['kjuːmjʊləs] us ['kjumjələs],积云,,,"(noun) A large white puffy cloud that develops through convection. On a hot, humid day, they can form towers and even become cumulonimbus clouds.",,n. 积云；堆积，堆积物
15808,地理,地理,气象,1,n.,meteorologist,,"en [,miːtɪə'rɒlədʒɪst] us ['mitɪə'rɑlədʒɪst]",气象学者,,,(noun) A person who studies meteorology,,n. 气象学者
18166,地理,地理,气象,气象,a.,meteorological,,"en [,miːtɪərə'lɒdʒɪkəl] us [,mitɪərə'lɑdʒɪkl]",气象的；气象学的,,,(adjective) Of or pertaining to meteorology.,,adj. 气象的；气象学的
17255,地理,地理,气象,雨,n.,monsoon,,"en [mɒn'suːn] us [,mɑn'sun]",季候风；雨季,,,(noun) Any of a number of winds associated with regions where most rain falls during a particular season.,,n. 季风；（印度等地的）雨季；季候风
9663,地理,地理,天气,风,n.,flurry,,en ['flʌrɪ] us ['flɝi],阵风；骚动；小阵雪（或雨等）,,,"(noun) A light, brief snowfall. | (verb) To agitate, bewilder, fluster.",,"n. 慌张；疾风；飓风；骚动；一阵忙乱（或激动、兴奋等）；小阵雪（或雨等）；（尤指衣服）窸窣；（同时出现的）一系列事物；一阵混乱
v. 使恐慌；使激动；慌张；激动；（雪或树叶）微飘；（人）快速行动"
27517,地理,地理,天气,风,a.,gusty,,en ['gʌstɪ] us ['ɡʌsti],阵风的；突发的,,,(adjective) (of wind) Blowing in gusts; blustery; tempestuous.,,"adj. 阵风的；突发的；阵阵猛急的
n. (Gusty)人名；(英)古斯蒂"
6K+,地理,地理,天气,雨,n.,monkey's wedding,,,晴天下雨,sun shower,,(noun) A sun shower.,,晴雨天;太阳雨;
19105,地理,地理,天气,雨,n.,sleet,,en [sliːt] us [slit],雨夹雪,,,(noun) Pellets of ice made of mostly frozen raindrops or refrozen melted snowflakes. | (verb) (of the weather) To be in a state in which sleet is falling.,,"n. 雨夹雪，冻雨；雨淞
v. 下雨夹雪，下冰雹；冻雨拍打；使下霰般落下"
7310,地理,地理,天文,1,n.,constellation,,"en [,kɒnstə'leɪʃ(ə)n] us [,kɑnstə'leʃən]",星座,,,"(noun) An asterism, an arbitrary formation of stars perceived as a figure or pattern, or a division of the sky including it, especially one officially recognised by astronomers.",,n. [天] 星座；星群；荟萃；兴奋丛
24797,地理,地理,天文,1,n.,firmament,,en ['fɜːməm(ə)nt] us ['fɝməmənt],天空；苍穹,,,"(noun) (usually uncountable) The vault of the heavens, where the clouds, sun, moon, and stars can be seen; the heavens, the sky.",,n. 天空；苍天
12363,地理,地理,天文,1,n.,meteorite,,en ['miːtɪəraɪt] us ['mitɪəraɪt],陨石,,,(noun) A metallic or stony object or body that is the remains of a meteoroid.,,n. 陨石，陨星；流星
23402,地理,地理,天文,1,n.,occultation,,"en [,ɒkəl'teɪʃən] us [,ɑkʌl'teʃən]",掩星；掩蔽,,After a long period of occultation he again showed his face at the club. 长期隐匿之后他又在俱乐部露面了.,{Merriam-Webster} (noun) the state of being hidden from view or lost to notice; the interruption of the light from a celestial body or of the signals from a spacecraft by the intervention of a celestial body; especially : an eclipse of a star or planet by the moon,,n. [天] 掩星；掩蔽
14807,地理,地理,天文,1,n.,quasar,,en ['kweɪzɑː; -sɑː] us ['kwezɑr],类星体,,,"(noun) An extragalactic object, starlike in appearance, that is among the most luminous and (putatively) the most distant objects in the universe.",,n. [天] 类星体；恒星状球体
9742,动物,动物,动物,1,n.,alligator,,en ['ælɪgeɪtə] us ['æləˌɡetɚ],短吻鳄,,,"(noun) Either of two species of large amphibious reptile, Alligator mississippiensis or Alligator sinensis, in the genus Alligator within order Crocodilia, which have sharp teeth and very strong jaws and are native to the Americas and China, respectively. | (verb) (of paint or other coatings) To crack in a pattern resembling an alligator's skin.",,"n. 短吻鳄（产于美国及中国）；短吻鳄皮革；鳄口式工具
vi. 皱裂；裂开
adj. 鳄鱼般的；鳄鱼皮革的；鳄鱼皮纹的"
12444,动物,动物,动物,1,n.,antler,,en ['æntlə] us ['æntlɚ],鹿角,,,"(noun) A branching and bony structure on the head of deer, moose and elk, normally in pairs. They are grown and shed each year. (Compare with horn, which is generally not shed.)",,"n. 鹿角，茸角；多叉鹿角
n. (Antler)人名；(法)安特莱；(英)安特勒"
11093,动物,动物,动物,1,n.,bison,,en ['baɪs(ə)n] us ['baɪsn],北美野牛,,,"(noun) A wild ox, Bison bonasus.",,"n. 北美野牛；欧洲野牛
n. (Bison)人名；(法、德)比松"
20941,动物,动物,动物,1,n.,boa,,en ['bəʊə] us ['boə],蟒蛇；羽毛围巾,,,"(noun) Any of a group of large American snakes, of the genus Boa, subfamily Boinae, or family Boidae, including the boa constrictor, the emperor boa of Mexico, and the chevalier boa of Peru.",,"n. [脊椎] 蟒蛇；女用围巾；蟒形联合浮动汇率
n. (Boa)人名；(葡)博阿；(缅)波"
14674,动物,动物,动物,1,n.,boar,,en [bɔː] us [bɔr],野猪；（未阉的）公猪,,,"(noun) A wild boar (Sus scrofa), the wild ancestor of the domesticated pig.",,"n. 野猪；（未阉的）公猪
n. (Boar)人名；(罗)博阿尔"
25433,动物,动物,动物,1,n.,burro,,en ['bʊrəʊ] us ['bɝo],驴子,,,(noun) A small donkey,,"n. 驴子（尤指美国西南部用作驮畜的驴）
n. (Burro)人名；(西)布罗"
28509,动物,动物,动物,1,vv.,calve,,en [kɑːv] us [kæv],下仔；生小牛,,,(verb) To give birth to a calf,,"vt. 下仔；生小牛；使崩解
vi. 生小牛；下仔；崩解
n. (Calve)人名；(西、意)卡尔韦；(法)卡尔夫"
13432,动物,动物,动物,1,n.,caribou,,en ['kærɪbuː] us ['kærɪbu],北美驯鹿,,,"(noun) Any of several North American subspecies of the reindeer, Rangifer tarandus.",,"n. 北美驯鹿
n. (Caribou)人名；(法)卡里布"
13030,动物,动物,动物,1,n.,chimpanzee,,"en [tʃɪmpæn'ziː] us [,tʃɪmpæn'zi]",黑猩猩,,,"(noun) A species of great ape in the genus Pan, native to Africa, and believed by biologists to be the closest extant relative to humans.",,n. [脊椎] 黑猩猩
25746,动物,动物,动物,1,n.,chipmunk,,en ['tʃɪpmʌŋk] us ['tʃɪpmʌŋk],花栗鼠,,,"(noun) A squirrel-like rodent of the genus Tamias, native mainly to North America. | (verb) To speed up an audio recording, especially a song, to make the voices high-pitched.",,n. 花栗鼠；[脊椎] 金花鼠
19285,动物,动物,动物,1,n.,cobweb,,en ['kɒbweb] us ['kɑb'wɛb],蜘蛛网；蛛丝,,...a walk on the South Downs to blow away the cobwebs. 到南唐斯去徒步旅行，让头脑清醒清醒,"(noun) A spiderweb, or the remains of one, especially an asymmetrical one that is woven with an irregular pattern of threads.",,"n. 蜘蛛网；蛛丝；圈套
vt. 使布满蛛网；使混乱"
8234,动物,动物,动物,1,n.,coyote,,"en [kaɪ'əʊtɪ] us [kaɪˈoti, ˈkaɪˌot]",郊狼；非法移民偷运者,,,"(noun) Canis latrans, a species of canine native to North America. | (verb) To prospect for gold by manually digging holes into overlying earth, as into a hillside.",,n. 丛林狼，郊狼；非法移民偷运者
12995,动物,动物,动物,1,n.,fauna,,en ['fɔːnə] us ['fɔnə],动物群,,,"(noun) Animals considered as a group; especially those of a particular country, region, time.",,"n. 动物群；[动] 动物区系
n. (Fauna)人名；(瑞典)福纳"
19887,动物,动物,动物,1,n.,fawn,,en [fɔːn] us [fɔn],小鹿；浅黄褐色,,,(noun) A young deer. | (verb) To give birth to a fawn.,,"n. （未满周岁的）幼鹿；浅黄褐色
v. 讨好；（鹿）生小鹿；（尤指狗）摇尾乞怜
adj. 浅黄褐色的
n. (Fawn) （美）福恩（人名）"
24805,动物,动物,动物,1,n.,foal,,en [fəʊl] us [fol],驹,,,"(noun) A young horse or related animal, especially just after birth or less than a year old. | (verb) To give birth to (a foal); to bear offspring.",,"n. 驹（尤指一岁以下的马、驴、骡）
v. 产驹，（马等）生仔"
14716,动物,动物,动物,1,n.,gator,,en ['ɡeitə] us [ 'ɡeitə ],短吻鳄,,,(noun) Alligator.,,n. 短吻鳄
26309,动物,动物,动物,1,n.,gecko,,en ['gekəʊ] us ['gɛko],壁虎,,,"(noun) Any lizard of the family Gekkonidae. They are small, carnivorous, mostly nocturnal animals with large eyes and adhesive toes enabling them to climb on vertical and upside-down surfaces. | (verb) To move in the manner of a gecko; to attach to a vertical or upside-down surface.",,n. [脊椎] 壁虎
28150,动物,动物,动物,1,n.,giblet,,en ['dʒɪblɪt] us [ 'dʒiblit ],（禽类的）内脏杂碎,viscera,,(noun) (usually in the plural) the edible viscera of a bird,,"n. （禽类的）内脏杂碎
adj. 用（禽类的）内脏杂碎做的"
14684,动物,动物,动物,1,n.,gill,,en [gɪl] us [ɡɪl],鳃；菌褶；（山谷中的）沟壑,,,(noun) (animal anatomy) a breathing organ of fish and other aquatic animals | (verb) To remove the gills from a fish as part of gutting and cleaning it,,"n. 鳃；菌褶；（山谷中的）沟壑，峡流；及耳（容量单位）
vi. 被刺网捕住
vt. 用刺网捕鱼；去除内脏
n. (Gill)人名；(英、法、德、匈、印)吉尔；(瑞典、挪)伊尔；(西)希尔"
24256,动物,动物,动物,1,n.,gopher,,en ['gəʊfə] us [ 'ɡəufə ],囊地鼠,,,"(noun) A small burrowing rodent, especially in the family Geomyidae.",,n. 囊地鼠（产自北美的一种地鼠）
10326,动物,动物,动物,1,n.,hoof,,en [huːf] us [huf],蹄，马蹄,,,"(noun) The tip of a toe of an ungulate such as a horse, ox or deer, strengthened by a thick keratin covering. | (verb) To trample with hooves.",,"n. （马等动物的）蹄；人的脚
v. 步行；猛踢（球）；跳舞"
18075,动物,动物,动物,1,n.,hyena,,en [haɪ'iːnə] us [haɪ'inə],鬣狗，土狼,,,"(noun) Any of the medium-sized to large feliform carnivores of the subfamily Hyaeninae (genera Hyaena and Crocuta), native to Africa and Asia and noted for the sound similar to laughter which they can make if excited.",,n. [脊椎] 鬣狗，土狼
